갈래,업체명,권역,시도,업체명,허가현황,자료출처
수집·운반,(유)봉산물류,경상권역,울산광역시,(유)봉산물류,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)그린환경로직스,경상권역,울산광역시,(주)그린환경로직스,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)대동에너지,경상권역,울산광역시,(주)대동에너지,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)명신정유(운반자),경상권역,울산광역시,(주)명신정유(운반자),수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청 / 중간 재활용업 · 처리방법 재활용,14 폐기물처리업체 전국취합
수집·운반,(주)블루엔텍,경상권역,울산광역시,(주)블루엔텍,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)삼경에너지,경상권역,울산광역시,(주)삼경에너지,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)에스지물류,경상권역,울산광역시,(주)에스지물류,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)에코앤리소스,경상권역,울산광역시,(주)에코앤리소스,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청 / 종합 재활용업 · 처리방법 재활용,14 폐기물처리업체 전국취합
수집·운반,(주)에코티엔엘,경상권역,울산광역시,(주)에코티엔엘,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)영진화학,경상권역,울산광역시,(주)영진화학,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)우영엔텍,경상권역,울산광역시,(주)우영엔텍,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)정도이엔이,경상권역,울산광역시,(주)정도이엔이,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)케이지엑스,경상권역,울산광역시,(주)케이지엑스,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)한창환경,경상권역,울산광역시,(주)한창환경,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,NC울산(주)-운반자,경상권역,울산광역시,NC울산(주)-운반자,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,대신에너지,경상권역,울산광역시,대신에너지,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,덕진엔지니어링(주),경상권역,울산광역시,덕진엔지니어링(주),수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,동광엘앤이(주),경상권역,울산광역시,동광엘앤이(주),수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,삼양통운(주),경상권역,울산광역시,삼양통운(주),수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,삼진공사,경상권역,울산광역시,삼진공사,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,신영산업(주),경상권역,울산광역시,신영산업(주),수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,신흥에너텍(주),경상권역,울산광역시,신흥에너텍(주),수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청 / 종합 재활용업 · 처리방법 재활용,14 폐기물처리업체 전국취합
수집·운반,주식회사 케이에이치물류,경상권역,울산광역시,주식회사 케이에이치물류,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,지에코시스(주),경상권역,울산광역시,지에코시스(주),수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,청록환경(주),경상권역,울산광역시,청록환경(주),수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,태영이앤엘 주식회사,경상권역,울산광역시,태영이앤엘 주식회사,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)HB에너지,수도권,경기도,(주)HB에너지,수집·운반업 · 처리방법 수집·운반 · 한강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)경인환경,수도권,경기도,(주)경인환경,수집·운반업 · 처리방법 수집·운반 · 한강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)그린써비스,수도권,경기도,(주)그린써비스,수집·운반업 · 처리방법 수집·운반 · 한강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)네이처산업,수도권,경기도,(주)네이처산업,수집·운반업 · 처리방법 수집·운반 · 한강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)뉴그린,수도권,경기도,(주)뉴그린,수집·운반업 · 처리방법 수집·운반 · 한강유역환경청 / 중간처분업 · 처리방법 소각 · 한강유역환경청 / 중간처분업 · 처리방법 기타 · 한강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)뉴대성,수도권,경기도,(주)뉴대성,수집·운반업 · 처리방법 수집·운반 · 한강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)대경이엔지,수도권,경기도,(주)대경이엔지,수집·운반업 · 처리방법 수집·운반 · 한강유역환경청 / 종합 재활용업 · 처리방법 재활용,14 폐기물처리업체 전국취합
수집·운반,(주)대청환경,수도권,경기도,(주)대청환경,수집·운반업 · 처리방법 수집·운반 · 한강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)덕양,수도권,경기도,(주)덕양,수집·운반업 · 처리방법 수집·운반 · 한강유역환경청,14 폐기물처리업체 전국취합
